Prozess,Bauteil,Menge Bauteil,Kostengruppe,Masse in kg Bestand,Masse in kg Außenwandsanierung,Masse in kg Dachsanierung,Masse in kg Fenstersanierung,Masse in kg Komplettsanierung
Transportbeton C20/25,Stahlbeton (Importiert),"90,16 m²",361 Dachkonstruktionen,"40853,3","40853,3","40853,3",40853.3,"40853,3"
Sand 0/2,Extensivbegrünung (Importiert),"90,16 m²",363 Dachbeläge,"12171,6","12171,6","12171,6",12171.6,"12171,6"
Lava Körnung,Extensivbegrünung (Importiert),"90,16 m²",363 Dachbeläge,"5950,56","5950,56","5950,56",5950.56,"5950,56"
Bewehrungsstahl,Stahlbeton (Importiert),"90,16 m²",361 Dachkonstruktionen,"5679,36","5679,36","5679,36",5679.36,"5679,36"
Konstruktionsvollholz (Durchschnitt DE),IBO_AW_01 (Importiert),"175,30 m²",331 Tragende Außenwände,"3110,72","3110,72","3110,72",3110.72,"3110,72"
"Schnittholz Lärche (12% Feuchte/10,7% H2O)",IBO_AW_01 (Importiert),"175,30 m²","335 Außenwandbekleidungen, außen","2895,96","2895,96","2895,96",2895.96,"2895,96"
Zellulosefaserplatten,Extensivbegrünung (Importiert),"90,16 m²",363 Dachbeläge,"1947,46","1947,46","1947,46",1947.46,"1947,46"
Oriented Strand Board (Durchschnitt DE),IBO_AW_01 (Importiert),"175,30 m²",331 Tragende Außenwände,"1893,24","1893,24","1893,24",1893.24,"1893,24"
Gipskartonplatte (Feuerschutz),IBO_AW_01 (Importiert),"175,30 m²","336 Außenwandbekleidungen, innen","1753,0","1753,0","1753,0",1753.0,"1753,0"
Konstruktionsvollholz (Durchschnitt DE),IBO_AW_01 (Importiert),"175,30 m²","336 Außenwandbekleidungen, innen","1296,13","1296,13","1296,13",1296.13,"1296,13"
Gipskartonplatte (Feuerschutz),Gipskarton abgehangen (Importiert),"90,16 m²",364 Dachbekleidungen,"901,6","901,6","901,6",901.6,"901,6"
Gipskartonplatte (Feuerschutz),Gipskarton abgehangen (Importiert),"90,16 m²",364 Dachbekleidungen,"901,6","901,6","901,6",901.6,"901,6"
"Stahl Feinblech (0,3-3,0mm)",Gipskarton abgehangen (Importiert),"90,16 m²",364 Dachbekleidungen,"709,92","709,92","709,92",709.92,"709,92"
Folie für Gründach,Extensivbegrünung (Importiert),"90,16 m²",363 Dachbeläge,"694,23","694,23","694,23",694.23,"694,23"
Mineralwolle (Fassaden-Dämmung),IBO_AW_01 (Importiert),"175,30 m²",331 Tragende Außenwände,"681,04","681,04","681,04",681.04,"681,04"
Mineralwolle (Innenausbau-Dämmung),IBO_AW_01 (Importiert),"175,30 m²","336 Außenwandbekleidungen, innen","391,14","391,14","391,14",391.14,"391,14"
Dreifachverglasung,"1,88 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard","14,00 Stück",334 Außentüren und -fenster,"205,43","205,43","205,43",-,-
Fugendichtungsbänder PE/PP-Folie,"1,88 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard","14,00 Stück",334 Außentüren und -fenster,"85,93","85,93","85,93",-,-
"Aluminium-Rahmenprofil, pulverbeschichtet","1,88 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard","14,00 Stück",334 Außentüren und -fenster,"74,54","74,54","74,54",-,-
PE-HD mit PP-Vlies zur Abdichtung,IBO_AW_01 (Importiert),"175,30 m²","335 Außenwandbekleidungen, außen","69,42","69,42","69,42",69.42,"69,42"
Dampfbremse PE,IBO_AW_01 (Importiert),"175,30 m²","336 Außenwandbekleidungen, innen","32,61","32,61","32,61",32.61,"32,61"
PE/PP Vlies,Extensivbegrünung (Importiert),"90,16 m²",363 Dachbeläge,"17,85","17,85","17,85",17.85,"17,85"
Innenfarbe Dispersionsfarbe scheuerfest,Gipskarton abgehangen (Importiert),"90,16 m²",364 Dachbekleidungen,"14,06","14,06","14,06",14.06,"14,06"
Dachbahnen EPDM,Extensivbegrünung (Importiert),"90,16 m²",363 Dachbeläge,"8,61","8,61","8,61",8.61,"8,61"
eLCA Luftschicht,Gipskarton abgehangen (Importiert),"90,16 m²",364 Dachbekleidungen,"0,0","0,0","0,0",0.0,"0,0"
Konstruktionsvollholz (Durchschnitt DE),IBO_AW_01 (Importiert),"175,30 m²","335 Außenwandbekleidungen, außen",-,"3629,17",-,-,"3629,17"
Konstruktionsvollholz (Durchschnitt DE),IBO_AW_01 (Importiert),"175,30 m²","335 Außenwandbekleidungen, außen",-,"2592,27",-,-,"2592,27"
Mineralwolle (Fassaden-Dämmung),IBO_AW_01 (Importiert),"175,30 m²","335 Außenwandbekleidungen, außen",-,"794,55",-,-,"794,55"
Konstruktionsvollholz (Durchschnitt DE),IBO_AW_01 (Importiert),"175,30 m²","335 Außenwandbekleidungen, außen",-,"518,45",-,-,"518,45"
eLCA Luftschicht,IBO_AW_01 (Importiert),"175,30 m²","335 Außenwandbekleidungen, außen",-,"0,0",-,-,"0,0"
EPS-Hartschaum (Styropor ®) für Decken/Böden und als Perimeterdämmung B/P-035,Extensivbegrünung (Importiert),"90,16 m²",363 Dachbeläge,-,-,"233,51",-,"233,51"
Dreifachverglasung,"1,88 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard","14,00 Stück",334 Außentüren und -fenster,-,-,-,205.43,"205,43"
Blendrahmen PVC-U,"1,88 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard","14,00 Stück",334 Außentüren und -fenster,-,-,-,204.62,"204,62"
Fugendichtungsbänder PE/PP-Folie,"1,88 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard","14,00 Stück",334 Außentüren und -fenster,-,-,-,85.93,"85,93"
